ID,Категория ,Вид товара,Тип товара,Вид объявления,Состояние товара,Заголовок объявления,Описание,Цена,Название папки с фотографиями,"Ссылки на фотографии (заполняется программой автоматически, если заполнено название папки)",Ссылка на видео,Регион РФ,"Район/Административный округ
",Населенный пункт,Район населенного пункта,Улица,Номер дома,Телефон,Менеджер,Дата и время начала размещения объявления (часовой пояс MSK),Дата окончания размещения объявления,"Avito ID (для объявлений, размещенных вручную)",Управление платными услугами,Вариант платного размещения,"Способ связи: разрешить сообщения? 
(если пусто, то Да)",
id,category,goodsType,goodsSubType,type,condition,title,description,price,images,imagesCnt,videoURL,addrRegion,addrArea,addrCity,addrPoint,addrStreet,addrHouse,contactPhone,managerName,dateBegin,dateEnd,,status,,allowEmail,address
T20210516-29,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул KEO-R -4532 -VD2

🔹 **Звоните и получите качественные новые окна.**",,"https://agryz.udm-okna.ru/wp-content/uploads/sites/35/2020/02/2.jpg,http://maanhonka.su/sites/default/files/interyer-derevyannogo-doma-2.jpg,https://izhevsk.ru/forums/icons/forum_pictures/asyncupload/443126/2017/9/28/1506569887U443126TkUR8491270693_orig.jpg",,,Республика Башкортостан,,Юнны,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Юнны, , , "
T20210516-30,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул OTHF -481 -K

🔹 **Звоните и получите качественные новые окна.**",,"https://pencere.az/wp-content/uploads/2017/11/DSC_0329.jpg,https://z4h5g2w8.stackpathcdn.com/wp-content/uploads/2018/06/34469777_2133486136679827_6530056637477027840_n.jpg,https://orenburg.oknaromax.ru/upload/medialibrary/5d1/5d17cefcfa16c75ea58473903a381b07.jpg",,,Республика Башкортостан,,Новокуктово,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Новокуктово, , , "
T20210516-31,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул HGO -00123 -DS

🔹 **Звоните и получите качественные новые окна.**",,"https://www.svetokna.ru/img/primer/a/p/4.jpg,https://i1.photo.2gis.com/images/branch/0/30258560048368144_936a.jpg",,,Республика Башкортостан,,Карабашево,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Карабашево, , , "
T20210516-32,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул LFJE -0384 -0BJ

🔹 **Звоните и получите качественные новые окна.**",,"https://g.zbp.ru/45/83/1d121d.ewj1cw.8ha1.xc.m8.jpg,https://cache3.youla.io/files/images/780_780/5b/a8/5ba895d8b5fc2dbea479d743.jpg",,,Республика Башкортостан,,Иштеряково,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Иштеряково, , , "
T20210516-33,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул KEO-R -00123 -0BJ

🔹 **Звоните и получите качественные новые окна.**",,"https://avatars.mds.yandex.net/get-altay/1027639/2a0000016294afe2cb50c38657432d037242/XXXL,https://cache3.youla.io/files/images/780_780/5d/b1/5db1865385e9d219762e4f77.jpg",,,Республика Башкортостан,,Рсаево,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Рсаево, , , "
T20210516-36,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул HGO -0384 -VD2

🔹 **Звоните и получите качественные новые окна.**",,"https://cache3.youla.io/files/images/780_780/5a/24/5a24e8f6821a992d490d6214.jpg,https://dizajny.expert/wp-content/uploads/2020/08/okna-lerua-merlen-43.jpg",,,Республика Башкортостан,,Лаяшты,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Лаяшты, , , "
T20210516-37,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул LFJE -4532 -DS

🔹 **Звоните и получите качественные новые окна.**",,"https://cache3.youla.io/files/images/780_780/5d/78/5d78fa16c15ae3a9ce001cc4.jpg,https://cache3.youla.io/files/images/780_780/5e/4d/5e4d62fae7d7cea9174876c0.jpg,https://ointeres.ru/upload/000/u1/20/fd/d78f80e4.jpg",,,Республика Башкортостан,,Исмаилово,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Исмаилово, , , "
T20210516-38,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул OTHF -4532 -VD2

🔹 **Звоните и получите качественные новые окна.**",,"https://cache3.youla.io/files/images/780_780/5d/f0/5df0ca3eaaab2853c15e78f7.jpg,https://taganrog.baza-okon.ru/sites/default/files/gallery/6630r_0.jpg",,,Республика Башкортостан,,Тазеево,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Тазеево, , , "
T20210516-39,Ремонт и строительство,Окна и балконы,,Товар от производителя,Новое,Пластиковые окна пвх с доставкой,"Пластиковые окна и двери с доставкой. **Более 421 видов по размеру**: Двухстворчатые и трехстворчатое Окна ПВХ. Балконный блоки. Подоконники, откосы, отливы, детские замки

————

🔹 **Звоните и я бесплатно рассчитаю вам стоимость и уже сегодня приедем на замер.**

————

✅ Материал напрямую от завода - низкие цены, без посредников.

✅ Большой выбор ( по типам цвета, толщины и ценовой категории ).

✅ Герметичные - не будут продуваться.

✅ Максимально тихие.

✅ Экологически чистые.

✅Максимально безопасные.

✅ Двойной контроль качества.

✅ Не трескаются.

✅ Без переплат.

————

🔹 **ЗВОНИТЕ сейчас и поберу наиболее подходящие для вас и вашего дома окна!**

⭐ **Добавьте это объявление в избранное, чтобы не потерять**

————

К примеру в наличие трехстворчатое ПВХ окно

Размер: 1700х1400

5-камерный профиль

Двухкамерный стеклопакет (толщиной 40 мм.)

Фурнитура ROTO NT

Подоконник - 150 мм

Водоотлив - 150 мм

————
Артикул KEO-R -0384 -DS

🔹 **Звоните и получите качественные новые окна.**",,"https://pvhokna.ru/upload/iblock/38f/38fa0e9a5a4c5c17fe408e5f78b9498e.jpg,https://images.ru.prom.st/731130000_w640_h640_plastikovoe-okno-900-1200.jpg",,,Республика Башкортостан,,Кужбахты,,,,89279433394,,,,,Free,Package,Нет,"Республика Башкортостан, , Кужбахты, , , "
